,t_FBiH,3m_FBiH,6m_FBiH,9m_FBiH,1y_FBiH,2y_FBiH,3y_FBiH,5y_FBiH,6y_FBiH,7y_FBiH,10y_FBiH,15y_FBiH,t_AAA,1d_AAA,1m_AAA,3m_AAA,6m_AAA,9m_AAA,1y_AAA,1.5y_AAA,2y_AAA,3y_AAA,4y_AAA,5y_AAA,6y_AAA,7y_AAA,8y_AAA,9y_AAA,10y_AAA,15y_AAA,20y_AAA,t_euroarea,1d_euroarea,1m_euroarea,3m_euroarea,6m_euroarea,9m_euroarea,1y_euroarea,1.5y_euroarea,2y_euroarea,3y_euroarea,4y_euroarea,5y_euroarea,6y_euroarea,7y_euroarea,8y_euroarea,9y_euroarea,10y_euroarea,15y_euroarea,20y_euroarea,t_BAM,1d_BAM,1m_BAM,3m_BAM,6m_BAM,9m_BAM,1y_BAM,1.5y_BAM,2y_BAM,3y_BAM,4y_BAM,5y_BAM,6y_BAM,7y_BAM,8y_BAM,9y_BAM,10y_BAM,15y_BAM,20y_BAM
0,,,,,,,,,,,,,2011-05-11,0.8796151320742633,0.9225097496984984,1.0094211545601997,1.135272955069106,1.2559037014246732,1.3715271343059934,1.588564112529697,1.7879269231868666,2.139198985192607,2.4354043962504885,2.6850651958399627,2.8953974424502436,3.0725093841192392,3.221569892922555,3.346951565739224,3.4523522528023527,3.7736016760922144,3.9052065404242007,2011-05-11,0.6015617067185329,0.7542296224133561,1.029151759096928,1.3597471493188331,1.6192041762424352,1.8294556241975108,2.1582884617370777,2.4183787202256273,2.8424184671256008,3.191240163246178,3.4786425081173777,3.7110990496393255,3.897162620650331,4.046085753227025,4.166163579120957,4.264105408645122,4.562570147713284,4.712477347786541,2011-05-11,1.6746651118452494,1.694854227820508,1.8759272232734023,2.4103529713589875,3.148909035635339,4.001308282081503,5.819190120569312,7.575934080335598,10.527692445074512,12.687362104747772,14.22761692563175,15.330989030679095,16.131623378510124,16.720018609080107,17.156478686882625,17.48180835108368,18.19782860320932,18.28199512674393
1,,,,,,,,,,,,,2011-05-12,0.8896818806894249,0.9296473444593653,1.0108025654403006,1.1287541034907969,1.2423116148823965,1.3516313899113284,1.558155763238061,1.7494716364744032,2.0906674667976612,2.382894484134333,2.632807169946798,2.846173518427841,3.0279920097928708,3.1825932316350967,3.313728156357783,3.42464482066102,3.7621257138351942,3.8873271082831344,2011-05-12,0.6251687160211703,0.7747042757961229,1.0423725973176594,1.3613411746097737,1.6095678909959572,1.8097977255388151,2.1233537427980966,2.3743080947441886,2.79276123669937,3.143992176090335,3.435726427032005,3.672189584838686,3.861420745350292,4.012742232079955,4.134640629619993,4.233994958476172,4.536501492314253,4.688385421836574,2011-05-12,1.6516918838977976,1.672808830533965,1.8562680343279896,2.395164683293004,3.1388947480224902,3.996863621446507,5.826252837116965,7.594173938477892,10.565548813178854,12.740539637283437,14.292183833681584,15.40369176631421,16.209857321681472,16.801725521140686,17.240043910406968,17.56597371928882,18.274358709037745,18.344807368092148
2,,,,,,,,,,,,,2011-05-13,0.9228707441819268,0.9622674046176476,1.0422505171123082,1.1584574792727935,1.2702891908836245,1.3779045053203722,1.581093115588263,1.7691839575276598,2.104312144469626,2.39104032101954,2.636065303584372,2.845171886916897,3.0233561036743266,3.1749318970704623,3.303623432701967,3.4126449774154572,3.747478716549704,3.877795266152636,2011-05-13,0.6241005834798126,0.7793709254597412,1.0563368179708197,1.3841026222792197,1.6366712227621898,1.8382449285303448,2.1494090219771236,2.3951547815455543,2.8033089147835915,3.1481119953654213,3.4368634218869736,3.6723839022546705,3.8616728022198856,4.013463670722073,4.135953153602655,4.235893481257999,4.540481497432519,4.6934608865263066,2011-05-13,2.0668726341160624,1.9839653915412043,1.999494827368696,2.378081311091644,3.0371829887628294,3.8589742237357543,5.693738506500464,7.508191079074262,10.575804274238395,12.806582028288831,14.378776113335196,15.489341440500327,16.282703189741678,16.8556560642046,17.272328051405548,17.575910686327276,18.19144214110667,18.21510575110068
3,,,,,,,,,,,,,2011-05-16,0.9353655484293268,0.9753897590944344,1.056605526340218,1.1745028984190613,1.2878464441254716,1.3968075338850003,1.6022361938395937,1.7920365434851344,2.129293810701674,2.416853288524721,2.6618222286864963,2.8703045396415243,3.0475413819422994,3.198032161246851,3.325638641727243,3.4336745255907184,3.7667678432268046,3.901312806519608,2011-05-16,0.5811847170101857,0.7479518690346824,1.0434001634762944,1.388721870142573,1.6505858952761607,1.8562980376257536,2.1678236936870334,2.4101173348908818,2.8118387542687815,3.1539831622262753,3.4423712394513357,3.678342306610068,3.868218569529988,4.020517966603194,4.1434035541878265,4.243646689977252,4.549053919015145,4.70241992327704,2011-05-16,1.0063527012552946,1.1709980662137325,1.5816591407912228,2.3301027875477365,3.1800702224581214,4.082890893543327,5.916565067827367,7.657717260320675,10.604819560529002,12.794170976224173,14.357414947102193,15.457914956911605,16.230359429730285,16.773485793015098,17.156591189843738,17.427616718331286,17.9672585574954,18.0508133853991
4,,,,,,,,,,,,,2011-05-17,0.9267831356527074,0.9668709053742106,1.0482130323100394,1.1662874702332084,1.2797939259184163,1.3889046407078405,1.5945959562426162,1.7846151851709706,2.1222002284433494,2.409971059572177,2.6550647788789306,2.863609006959159,3.0408636024757234,3.191342586052219,3.318919024272246,3.4269152457968657,3.759839380828833,3.894429521482638,2011-05-17,0.5473298805944912,0.7205848798410398,1.026437354884148,1.38161153779367,1.6486951911177048,1.8567703242977407,2.1687287410557685,2.409483646308967,2.80861594578146,3.150253949356994,3.4392369667092764,3.67607132048538,3.866739848802731,4.019680265368858,4.143067577169977,4.243705200598634,4.550248489925169,4.704170245102568,2011-05-17,0.4808181731163451,0.7761323481482031,1.4173972425299848,2.427462547717994,3.4595418914073393,4.484265913103875,6.437453603558771,8.196556249894723,11.049606120564825,13.103316840415976,14.545994167253667,15.552461051302071,16.255160936143017,16.747596711292324,17.09412488335691,17.33879220899123,17.823280929128156,17.895899296508844
5,,,,,,,,,,,,,2011-05-18,0.9435595693599748,0.9831048893846532,1.0633523712670985,1.179852672215259,1.2918631050324216,1.3995523638812322,1.6026110374574078,1.7902570280080834,2.123782667361882,2.408277115532999,2.650740779647772,2.857187118749196,3.032780783355258,3.181956514742195,3.3085214739372972,3.415743300976559,3.747016046800481,3.881624997305166,2011-05-18,0.5808500355740462,0.7492994195784686,1.0478967174848657,1.397142409486384,1.6620594990058049,1.8700713315282975,2.184415118301306,2.4278583519731862,2.829314089623277,3.1700292944883657,3.4569666468081652,3.6917625063657096,3.8807460438556585,4.0323721116870415,4.154741160682644,4.254577886149459,4.558795076941873,4.711572400917234,2011-05-18,1.4058824595740742,1.4786713923506711,1.7615515661556331,2.429204747136384,3.2769699261078156,4.2157348403219945,6.1474087042039,7.9577024600239055,10.910799967519612,13.01033743967099,14.47628371484435,15.508700796960262,16.24693137540382,16.782219898800644,17.174227534018556,17.462794318120686,18.079925711161575,18.1492600658507
7,,,,,,,,,,,,,2011-05-20,0.9440835332378864,0.9828660338164786,1.0616016079241526,1.1759947056813709,1.2860798201829995,1.3920139658300137,1.592029350417,1.777187524497826,2.1071189994437476,2.3894591820690096,2.6308131903357097,2.836882466714622,3.0125875637577684,3.1621743108048346,3.2893056057678907,3.397140773438565,3.730107620035049,3.8624665924370074,2011-05-20,0.48960297170943,0.6812368298038866,1.015817576523627,1.397295692969216,1.6782605345951491,1.893413670003067,2.2111648443011864,2.4553274334879065,2.863283244181445,3.2134084451070573,3.50720215976896,3.7453032688771697,3.9350334604900463,4.0860113770847075,4.207136267330189,4.305571449430387,4.604322651425692,4.754142260557697,2011-05-20,1.3210393647408727,1.403191411515557,1.7060309411656405,2.4022685296611934,3.274343004506327,4.231932385489181,6.1851645955754275,8.000334854373184,10.938815841806449,13.018858954783411,14.473631949804613,15.504539476111498,16.2484736593804,16.793787855906338,17.19781727900986,17.49877265730841,18.158869678353703,18.231283583327652
8,,,,,,,,,,,,,2011-05-23,0.9305510059367492,0.9670659980441992,1.041357320140807,1.1496806597994118,1.254368441879749,1.3555311501388192,1.5477077475533212,1.7270333056283986,2.05019411445528,2.3307146062690105,2.5736651802798685,2.7835504889217653,2.964368371095281,3.119663256985978,3.2525744606999343,3.3658797651407717,3.714860963476517,3.841100796159944,2011-05-23,0.4610301022015464,0.6655898323056972,1.0193950471743685,1.4159246649979345,1.701541607597867,1.9155651933752464,2.224153580901435,2.4582289348248985,2.8540254941071144,3.200933559255688,3.4952943211498244,3.734914390253744,3.926110852154112,4.078274061016915,4.200319233891529,4.299473813705638,4.60029286179244,4.751126490244325,2011-05-23,1.0882315897114834,1.2099212767501744,1.5784255676263568,2.3425022021216506,3.2576492663337975,4.242722584331026,6.2256182378211005,8.055044648792252,11.00717299825762,13.091481535545332,14.542511821022256,15.563173959094264,16.292718532829955,16.82174946130483,17.20932288380536,17.494809489282826,18.107420978931145,18.179052559618192
9,,,,,,,,,,,,,2011-05-24,0.9329561181635048,0.969713878374866,1.0445063593079122,1.1535781240866645,1.25900962559132,1.3609105858549926,1.554544542266861,1.735297922956772,2.0612101252780706,2.344323815512571,2.5896943000993935,2.801818375975728,2.984691577420248,3.14186021751699,3.276468584099415,3.3913016475387208,3.745710793468936,3.874615307170048,2011-05-24,0.4629224970801789,0.668064803894319,1.0223198466188017,1.4183216021420757,1.7027464132874033,1.9154395005349043,2.2219083638417576,2.4550147038145127,2.8514833573306397,3.200429031693968,3.496790873438872,3.73798815743474,3.930351647500344,4.083376621422385,4.206073488258773,4.305736638466351,4.608037110160391,4.75960339576917,2011-05-24,2.123625409787064,2.0368486465364404,2.036793545373283,2.381654877152286,3.0042080219522296,3.792933805696945,5.582478166202584,7.382005674933799,10.485805953737705,12.794611437697409,14.453101036073829,15.64460048581035,16.509499934912412,17.1441984001137,17.613555348315952,17.961728366796812,18.708502215732217,18.768269207720003
10,,,,,,,,,,,,,2011-05-25,0.9187715528090212,0.9529745510472396,1.0227873160750405,1.1251260796779083,1.2246514642420894,1.3214124498066675,1.50683931982489,1.681805824904858,2.001965117242624,2.285092992402163,2.534329938715745,2.752706402589295,2.943109708825439,3.1082625485348037,3.2507104306480317,3.372815997345137,3.748322333155876,3.871492164731684,2011-05-25,0.585988424676472,0.7473984711330793,1.03241689535434,1.3645931094652783,1.6169108256949207,1.816679269593199,2.1253744219327855,2.373031425064686,2.794619597927425,3.1552202840126102,3.4559525768958306,3.6989998864413858,3.8925642530929374,4.046653391783844,4.170350742046258,4.270931128525756,4.576398053289129,4.729626060465872,2011-05-25,1.247545265413159,1.3507176605820246,1.6541585727979593,2.283942860563197,3.054786482487758,3.908166601613904,5.703367957972357,7.454157440146504,10.47751551366531,12.754843823908956,14.391763725283717,15.54788801935663,16.360506297908092,16.93202237056747,17.33493319179545,17.619630874558474,18.182977195594987,18.266462789448745
